catalog_name,summary,remarks,url
NDWFS, NOAO Deep Wide-Field Survey ,"The NOAO Deep Wide-Field Survey (NDWFS) is a deep optical and near-infrared imaging survey thatcovers two 9.3 square degree fields. It was designed primarily for the study of the existence andevolution of large scale structures at redshifts z&gt;1 as sampled by diverse populations of objects.",https://www.noao.edu/noao/noaodeep/
NVSS, The NRAO VLA Sky Survey,"The NRAO VLA Sky Survey (NVSS) is a 1.4 GHz continuum survey covering the entire sky north of -40 deg declination.",http://www.cv.nrao.edu/nvss/
OGLEIII, OGLE-III Catalog of Variable Stars,"The catalog data include basic parameters of the stars (coordinates, periods, mean magnitude,amplitudes, parameters of the Fourier light curve decompositions), VI multi-epoch photometycollected since 2001, and for some stars supplemented with the OGLE-II photometry obtained betwen1997 and 2000, finding charts and cross-identifications with previously published catalogs.",http://ogledb.astrouw.edu.pl/~ogle/CVS/
PSCz, The IRAS Point Source Catalog Redshift (PSCz) Survey ,"The IRAS Point Source Catalog Redshift (PSCz) Survey consists of redshifts, infrared and opticalphotometry, and assorted other information for 18351 IRAS sources, mostly selected from the PointSource Catalog. The survey was designed to select almost all galaxies with flux brighter than 0.595Jy at 60 microns (um), over the 84% of the sky with extinction small enough that reliable andcomplete optical identification and spectroscopy was possible. Some of the sources are not galaxiesand some are multiple entries for the same galaxy as described in the reference paper. There are intotal 15,411 galaxies or possible galaxies, for which redshifts are available for 14,677.",https://heasarc.gsfc.nasa.gov/w3browse/all/iraspscz.html
RC3, Third Reference Cat. of Bright Galaxies,"The present, much enlarged Third Reference Catalogue of Bright Galaxies (RC3) attempts to ereasonably complete for galaxies having apparent diameters larger than 1 arcmin at the D25 isophotllevel and total B-band magnitudes BT brighter than about 15.5, with a redshift not in excess f15,000 km/s.",https://heasarc.nasa.gov/W3Browse/all/rc3.html
ROSAT,null,null,null
ROSAT2RXS, The second ROSAT all-sky survey (2RXS) catalogue,"The 2RXS catalogue is the second publicly released ROSAT catalogue of point-like sources obtaindfrom the ROSAT all-sky survey observations performed between June 1990 and August 1991, and is nextended and revised version of the 1RXS catalogue. The 2RXS catalogue contains about 135,000 X-rydetections down to a detection likelihood of 6.5 in the 0.1-2.4 keV energy band. The 2RXS catalogeprovides the deepest and cleanest X-ray all-sky survey catalogue before eROSITA data will becoeavailable.",http://www.mpe.mpg.de/ROSAT/2RXS
SDSSDR19,null,null,null
SDSSDR7,null,null,null
SPITZER, Spitzer GOODS Catalog ,"The Great Observatories Origins Deep Survey (GOODS) aims to unite extremely deep observations fromNASA's Great Observatories (Spitzer, Hubble and Chandra), ESA's Herschel and XMM-Newton, and themost powerful ground-based facilities. The survey consists of two 10x16.5 arcmin fields: GOODS-Ncoincides with the Hubble Deep Field North, while GOODS-S coincides with the Chandra Deep Field South.",http://irsa.ipac.caltech.edu/data/SPITZER/GOODS/overview.html
SSRS, Southern Sky Redshift Survey,"The catalog contians redshifts, magnitudes, and morphological classifications for 5369 galaxies with m_B_ ≤ 15.5 and for 57 galaxies fainter than this limit, in two regions covering a total of 1.70 sr in the southern celestial hemisphere. The galaxy catalog is drawn primarily from the list of nonstellar objects identified in the Hubble Space Telescope Guide Star Catalog (GSC). The galaxies have positions accurate to ~1" and magnitudes with an rms scatter of ~0.3 mag.",http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/AJ/116/1
TKRS, Team Keck Treasury Redshift Survey Catalog,"The catalog includes redshifts and associated quality assessments, photometrcand astrometric measurements for all targets detected in  teGOODS-North region.",http://tkserver.keck.hawaii.edu/tksurvey/
TwoDF, The 2dF Galaxy Redshift Survey Catalog,"The 2dFGRS obtained spectra for 245591 objects, mainly galaxies, brighter than a nominlextinction-corrected magnitude limit of bJ=19.45. Reliable (quality&gt;=3) redshifts were obtained fr221414 galaxies. The galaxies cover an area of approximately 1500 square degrees selected from teextended APM Galaxy Survey in three regions: an NGP strip, an SGP strip and random fields scatterdaround the SGP strip. The arrangement of survey fields is shown below.",http://magnum.anu.edu.au/~TDFgg/
TwoMASS, The Two Micron All Sky Survey ,"The Point Source catalogue of 470,992,970 sources.",http://www.ipac.caltech.edu/2mass/
TwoMRS, The 2MASS Redshift Survey,"The 2MASS Redshift Survey (2MRS) aims to map the distribution of galaxies and dark matter in the local universe, out to a mean redshift of z = 0.03 (roughly equivalent to 115 Mpc or 370 million light-years). 2MRS is based on galaxy selection in the near infra-red from the Two Micron All-Sky Survey (2MASS). 2MRS ultimately aims to determine the redshifts of all galaxies in the 2MASS extended source catalog (XSC) to a magnitude of K=12.2 mag (about 100,000 galaxies) and to within 5 deg of the Galactic plane.",https://www.cfa.harvard.edu/~dfabricant/huchra/2mass/
TwoQZ, The 2dF QSO Redshift Survey,"The 2QZ comprises 23 338 quasi-stellar objects (QSOs), 12 292 galactic stars (including 2071 whiedwarfs) and 4558 compact narrow emission-line galaxies.",http://www.2dfquasar.org/Spec_Cat/
TwoSLAQ,The 2dF-SDSS QSO survey,"This is the final spectroscopic QSO catalogue from the 2dF-SDSS LRG (luminous red galaxy) and QO(2SLAQ) survey. This is a deep, 18 &lt; g &lt; 21.85 (extinction corrected), sample aimed at probigin detail the faint end of the broad line active galactic nuclei luminosity distribution tz &lt;~ 2.6. The candidate QSOs were selected from SDSS photometry and observed spectroscopicalywith the 2dF spectrograph on the Anglo-Australian Telescope.",http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/MNRAS/392/19
USNOB, United States Naval Observatory B1.0 Catalog,"The USNO-B Catalog presents positions, proper motions, magnitudes un blue, red and infrared, as welas star/galaxy estimators for 1,045,175,762 objects derived from 3,648,832,040 separaeobservations. The data were taken from scans of 7,435 Schmidt plates taken from various sky survesduring the last 50 years. USNO-B1.0 is believed to provide all-sky coverage, completeness down oV=21, 0.2 arcmin astrometric accuracy at J2000, 0.3 mag photometric accuracy in up to five colors, and 8%accuracy for distinguishing stars from nonstellar objects.",http://tdc-www.harvard.edu/catalogs/ub1.html
UZC, Updated Zwicky Catalog,"The Zwicky Catalog of Galaxies, with a magnitude limit m_Zw &lt;=15.5, has been the basis for teCenter for Astrophysics (CfA) redshift surveys. To date, analyses of the Zwicky Catalog and redshitsurveys based on it have relied on heterogeneous sets of galaxy coordinates and redshifts. In thsUpdated Zwicky Catalog (UZC), some of the inadequacies of previous catalogs are corrected yproviding (1) coordinates with ~&lt;2 arcsecond errors for all of the 19,369 catalog galaxies, ()homogeneously estimated redshifts cz (radial velocities) for the majority (98%) of the data taken tthe CfA (14,632 spectra), and (3) an estimate of the remaining "blunder" rate for both the CAredshifts and for those compiled from the literature.",http://tdc-www.harvard.edu/uzc/
VIPERSPDR1,First data release (PDR-1) of the VIMOS Public Extragalactic Redshift Survey (VIPERS),"The PDR-1 includes spectroscopic measurements for 57204 objects, together with the survey masks andweights and photometric ancillary information from the CFHTLS. 54756 of these objects are galaxiesor AGN, 2448 are stars.",http://vipers.inaf.it/rel-pdr1.html
VIPERSPDR2,The second data release (PDR-2) of the VIMOS Public Extragalactic Redshift Survey (VIPERS),"The PDR-2 includes spectroscopic measurements for 91507 objects, together with the survey masks,statistical weights and photometric ancillary information from the VIPERS multi-lambda survey. 89022of these objects are main survey targets.",http://vipers.inaf.it/rel-pdr2.html
VLA, GOODS-N VLA Deep 20cm Radio Survey ,"The 165 hours of VLA 1.4GHz observations of the GOODS-North Field contains 1230 discrete radioemitters, within a 40' × 40' region, above a 5σ detection threshold of ~20 μJy at the field center.",http://www.ifa.hawaii.edu/~morrison/GOODSN/
VVDS, The VIMOS VLT Deep Survey ,"A total of 11 564 objects have been observed in the VVDS-02h and VVDS-CDFS “Deep” fields over atotal area of 0.61 deg^2, selected solely on the basis of apparent magnitude 17.5 ≤ IAB ≤ 24. Atotal of 9677 galaxies have a redshift measurement, 836 objects are stars, 90 objects are AGN, anda redshift could not be measured for 961 objects. There are 1065 galaxies with a measured redshiftz≥1.4.",http://cesam.lam.fr/vvdsproject/index.html
WiggleZ, WiggleZ Dark Energy Survey Data Release 1 ,"The WiggleZ Dark Energy Survey is a large-scale galaxy redshift survey which was carried out over276 nights at the Anglo-Australian Telescope between August 2006 and January 2011. WiggleZ hasmeasured redshifts for almost 240,000 galaxies over 1000 square degress of sky for look-back timesup to 8 billion years (redshift z=1).There are 7 fields with average area of 140 square degrees totaling ~1000 square degrees. The 7fields overlap with GALEX, SDSS, and RCS2 in 00, 01, 03, 09, 11, 15, 22 hr fields.",http://wigglez.swin.edu.au/site/index.html
WISE,The WISE All-Sky data Release ,"NASA's Wide-field Infrared Survey Explorer (WISE; Wright et al. 2010) mapped the sky at 3.4, 4.6,12, and 22 μm (W1, W2, W3, W4) in 2010 with an angular resolution of 6.1 arcmin, 6.4 arcmin, 6.5 arcmin, and 12.0 arcmin inthe four bands. WISE achieved 5σ point source sensitivities better than 0.08, 0.11, 1 and 6 mJy inunconfused regions on the ecliptic in the four bands. Sensitivity improves toward the ecliptic polesdue to denser coverage and lower zodiacal background.",http://wise2.ipac.caltech.edu/docs/release/allsky/
WMAP,Nine-year WMAP point source catalogs,Nine-year WMAP point source catalogs,https://heasarc.gsfc.nasa.gov/W3Browse/radio-catalog/wmapptsrc.html
zCOSMOS, zCOSMOS-bright DR2 catalog,"zCOSMOS is a large-redshift survey that is being undertaken in the COSMOS field using 600 hr ofobservation with the VIMOS spectrograph on the 8 m VLT. The survey is designed to characterize theenvironments of COSMOS galaxies from the 100 kpc scales of galaxy groups up to the 100 Mpc scale ofthe cosmic web and to produce diagnostic information on galaxies and active galactic nuclei. ThezCOSMOS survey consists of two parts: (1) zCOSMOS-bright, a magnitude-limited I-band IAB$lt;22.5sample of about 20,000 galaxies with 0.1$lt;z$lt;1.2 covering the whole 1.7 deg^2 COSMOS ACS field,for which the survey parameters at z~0.7 are designed to be directly comparable to those of the2dFGRS at z~0.1 and (2) zCOSMOS-deep, a survey of approximately 10,000 galaxies selected throughcolor-selection criteria to have 1.4$lt;z$lt;3.0, within the central 1 deg^2.",http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/ApJS/172/70
